0,-3332,-1532,12864,-1,-206,32
1,-3416,-1404,12808,-22,-209,12
2,-3364,-1468,12876,-20,-172,-15
3,-3388,-1412,12712,-31,-198,-23
4,-3400,-1456,12804,9,-231,-11
5,-3284,-1440,12752,-10,-237,2
6,-3380,-1480,12780,-32,-233,31
7,-3408,-1452,12768,-18,-218,23
8,-3416,-1396,12772,-46,-246,27
9,-3340,-1472,12772,-49,-259,-7
10,-3308,-1476,12760,-43,-200,-10
11,-3432,-1520,12712,-31,-239,-12
12,-3356,-1460,12760,-50,-149,-33
13,-3784,-1600,12232,-21,-268,80
14,-3760,-1488,12456,-43,-221,-13
15,-3736,-1488,12512,-7,-409,-5
16,-3468,-1488,12648,-34,-106,-14
17,-3744,-1436,12596,-7,-163,14
18,-3344,-1492,12708,-55,-141,9
19,-3264,-1512,12820,-56,-147,-39
20,-3152,-1428,13004,-11,-35,92
21,-3448,-1444,12564,-42,-214,21
22,-3380,-1488,12804,-18,-166,25
23,-3476,-1480,12748,-45,-140,37
24,-3468,-1468,12812,-31,-270,29
25,-3356,-1424,12816,-60,-269,16
26,-3292,-1460,12832,-6,93,48
27,-3324,-1452,12876,-6,-266,-52
28,-3280,-1520,12872,-49,-348,21
29,-3348,-1448,12876,-16,-425,-26
30,-3328,-1536,12884,2,-361,-14
31,-3384,-1512,12744,-9,-397,-8
32,-3368,-1524,12744,-47,-313,23
33,-3272,-1248,13264,-62,328,52
34,-2944,-1500,13144,-34,38,31
35,-3332,-1476,12816,9,-522,40
36,-3500,-1516,12576,9,-392,58
37,-3444,-1472,12672,13,-201,29
38,-3172,-1484,12952,-16,85,-1
39,-3360,-1420,12860,21,-318,45
40,-3428,-1484,12784,6,-427,44
41,-3636,-1424,12660,21,-96,100
42,-3412,-1456,12652,-20,78,74
43,-3132,-1440,13088,-6,-75,25
44,-3440,-1516,12764,0,-374,38
45,-3616,-1508,12712,-6,-305,16
46,-3452,-1460,12724,-41,-166,20
47,-3260,-1504,12808,-23,-142,5
48,-3376,-1480,12732,-49,-123,-15
49,-3364,-1480,12744,19,-228,-15
50,-3384,-1432,12836,4,-79,-51
51,-3336,-1480,12896,-16,-159,2
52,-3396,-1484,12808,-28,-264,25
53,-3368,-1412,12832,-29,-264,1
54,-3404,-1532,12832,-3,-225,-7
55,-3488,-1492,12692,-3,-189,-19
56,-3452,-1500,12764,-29,-204,-39
57,-3444,-1512,12696,-83,-135,-76
58,-3280,-1444,12872,-99,1,-9
59,-3204,-1484,12788,-97,-343,-49
60,-4072,-1464,12208,-74,-1058,-9
61,-3568,-1508,12712,24,-717,-141
62,-3316,-1472,12908,-27,-375,20
63,-3248,-1496,12852,-97,-415,130
64,-3148,-1472,13160,-52,-172,81
65,-3188,-1556,12836,-32,-243,89
66,-3228,-1516,12928,28,-349,-63
67,-3312,-1548,12868,-45,-312,-30
68,-3368,-1512,12916,-35,-308,-196
69,-3392,-1544,12836,-69,-119,-31
70,-3396,-1364,12888,-113,-186,17
71,-3208,-1588,13036,-119,837,23
72,-2760,-1488,13212,-25,300,28
73,-3180,-1472,12904,-14,-257,-56
74,-3096,-1548,13012,-35,-158,-54
75,-3160,-1524,12984,7,-93,-101
76,-3272,-1532,12920,-30,-264,-44
77,-3408,-1512,12788,56,-369,52
78,-3772,-1740,12304,5,-982,33
79,-3432,-1404,12708,-45,280,-18
80,-3360,-1596,12892,-104,248,116
81,-3208,-1548,12864,-28,-11,112
82,-3332,-1476,12936,-2,248,135
83,-3112,-1536,12932,-2,-100,42
84,-3364,-1504,12984,-21,-424,39
85,-3428,-1408,12776,-50,-149,89
86,-3440,-1492,12768,-10,-297,19
87,-3284,-1316,13068,25,-19,-31
88,-3100,-1484,12976,-13,-152,45
89,-3212,-1548,12912,-44,-288,-106
90,-3144,-1552,12848,-34,-61,-87
91,-3260,-1516,12720,-49,-25,-80
92,-3112,-1368,13104,30,47,102
93,-3120,-1716,12820,-51,384,-40
94,-3280,-1500,12900,20,283,41
95,-3080,-1532,12972,-2,-245,45
96,-3348,-1472,12880,-24,-439,30
97,-3488,-1516,12600,-33,-497,80
