-369,-158,1640,17,88,-2
-702,-189,1474,23,-106,5
-497,-175,1539,18,15,3
-582,-188,1519,9,-50,-7
-457,-168,1603,-4,-25,-11
-509,-166,1557,-1,-51,-7
-493,-156,1578,1,-40,-3
-497,-173,1584,-16,-49,-8
-464,-168,1581,-20,-37,-8
-485,-179,1577,-8,-32,1
-479,-177,1589,-2,-29,2
-481,-164,1574,-8,-28,2
-470,-182,1592,-7,-31,5
-477,-182,1584,-15,-34,3
-491,-187,1562,-4,-35,-4
-475,-176,1579,6,-19,-7
-483,-172,1572,-20,-38,-1
-479,-178,1593,-29,-48,-1
-468,-183,1576,-17,-57,0
-472,-177,1583,-15,-73,9
-472,-185,1586,-12,-91,11
-464,-158,1592,-16,-85,62
-450,-178,1576,-4,-77,26
-472,-182,1578,-9,-93,21
-481,-184,1578,-10,-174,28
-558,-222,1632,12,-225,43
-459,-201,1578,9,-296,12
-419,-188,1578,43,-427,-17
-382,-188,1572,24,-296,-5
-393,-192,1598,26,-292,-18
-374,-177,1572,25,-266,7
-358,-191,1587,28,-291,-16
-319,-184,1590,60,-385,1
-291,-177,1578,32,-329,35
-284,-173,1576,41,-300,65
-260,-178,1576,37,-279,23
-272,-179,1570,29,-286,14
-279,-173,1586,80,-486,72
-258,-163,1592,87,-558,137
-141,-161,1565,62,-511,118
-150,-164,1531,57,-413,108
-134,-172,1543,56,-382,82
-124,-161,1552,48,-355,92
-78,-155,1554,70,-428,96
3,-140,1500,33,-393,92
-45,-187,1533,27,-310,29
-19,-151,1520,18,-297,15
-16,-163,1554,22,-284,10
51,-199,1522,30,-372,118
70,-163,1515,64,-440,64
12,-144,1545,34,-388,81
71,-149,1515,11,-251,7
92,-136,1511,13,-213,1
102,-144,1507,14,-233,3
73,-143,1481,1,-212,-10
82,-153,1471,12,-295,-19
125,-136,1484,19,-364,-29
167,-141,1501,20,-345,-22
439,-5,1544,-52,-321,29
98,-156,1475,-70,-274,81
267,-144,1500,-47,-374,-11
189,-150,1432,-17,-435,-5
98,-131,1333,-15,-594,69
410,-145,1499,-20,-382,-7
248,-140,1391,-13,-466,-2
491,-144,1549,-3,-477,-8
445,-119,1378,56,-294,151
992,-136,1453,86,-407,173
182,-168,1226,24,-413,22
557,-145,1493,27,-431,26
398,-148,1238,96,-633,177
436,-177,1378,34,-453,47
423,-162,1254,20,-352,15
538,-145,1368,22,-371,22
684,-146,1448,43,-446,49
503,-151,1244,25,-387,15
573,-156,1335,11,-351,2
639,-147,1331,13,-349,-1
575,-144,1293,13,-315,3
575,-149,1287,14,-388,1
595,-142,1290,22,-487,9
670,-143,1294,9,-432,-4
698,-147,1245,18,-373,1
691,-164,1212,19,-274,2
711,-155,1222,13,-282,1
718,-133,1225,10,-289,-3
718,-141,1227,11,-212,0
740,-122,1222,6,-164,0
744,-131,1217,18,-198,11
756,-142,1200,26,-192,21
746,-139,1194,16,-212,2
770,-141,1176,9,-169,1
757,-140,1187,9,-204,2
783,-141,1178,16,-202,8
808,-143,1154,9,-259,3
801,-136,1169,18,-250,1
817,-138,1174,21,-262,6
830,-141,1155,11,-265,7
825,-135,1166,19,-345,2
851,-147,1119,18,-291,9
863,-127,1114,15,-347,16
842,-133,1063,15,-256,19
887,-136,1132,23,-249,14
914,-136,1096,19,-277,16
899,-141,1092,21,-261,21
941,-143,1080,18,-267,7
958,-158,1049,6,-250,0
971,-123,1058,13,-263,6
965,-162,1049,30,-327,11
